job_name,company_name,company_location,salary,job_description,job_apply_url
Staff Software Engineer - Fullstack,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132408
Senior Software Engineer,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132326
Software Engineer II - iOS,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131789
Software Engineer II - Android,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131375
Staff Software Engineer - iOS,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130711
Senior Software Engineer - Web,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129773
Staff Software Engineer - Backend,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128297
Software Engineer - Delivery Matching,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131563
Software Engineer II - GenAI,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128266
Sr Software Engineer - Fullstack,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131298
Staff Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131221
Sr Software Engineer - Fullstack,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131208
Software Engineer - Delivery Matching,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131566
Senior Software Engineer Earner,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131716
Staff Software Engineer (iOS),Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132032
Software Engineer II (Frontend),Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131187
Staff Backend Software Engineer,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129213
Staff Software Engineer,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130157
Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128839
Sr Software Engineer,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130454
Senior Software Engineer,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131865
Senior Software Engineer - Frontend,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129547
Software Engineer II - iOS,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131212
Senior Software Engineer,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130081
Staff Software Engineer - Risk,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130013
Sr Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131507
Software Engineer II - iOS,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130706
Staff Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131508
Senior Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128421
