,job_name,company_name,company_location,salary,job_description,job_apply_url
0, UI Manager ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
1, Product Manager II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
2, SOC Analyst I ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
3, Technical Lead ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
4, Technical Lead - Frontend development ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
5, Associate Technical Lead ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
6, Tech Lead - Software Development Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
7, UI Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
8, Software Development Engineer II ,Flipkart,Bangalore Karnataka;Bangalore  Karnataka  India,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
9, Engineering Manager (Site Reliability Engineering) ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
10, Product Manager II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
11, Security Engineer - GRC ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
12, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
13, Product Manager I ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
14, Technical Product Manager II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
15, Technical Lead ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
16, Software Development Engineer IV ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
17, Engineering Manager ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
18, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
19, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
20, Product Manager II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
21, System Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
22, Mobile Architect ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
23, Data Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
24, UI Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
25, Software Development Engineer IV ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
26, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
27, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
28, Product Designer II - Planning & Pricing ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
29, Tech Lead - Software Development Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
30, Senior Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
31, Engineering Manager - GenAI ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
32, Technical Product Manager I ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
33, Software Development Engineer IV ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
34, Product Designer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
35, Software Development Engineer II ,Flipkart,Manikonda Jagir Telangana,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
36, Senior Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
37, Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
38, Product Manager II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
39, Senior Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
40, Product Manager II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
41, Lead Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
42, Senior Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
43, Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
44, Security Engineer ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
45, Engineering Manager ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
46, Lead Security Engineer (GRC) ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
47, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
48, UI Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
49, Tech Lead- Network ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
50, Senior Engineering Manager ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
51, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
52, Lead Consultant ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
53, Software Development Engineer III ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
54, Site Reliability Engineer 3 ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
55, Software Development Engineer III ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
56, Software Development Engineer II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
57, Application Engineer - II ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
58, Software Development Engineer III ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
59, Tech Manager I- Network Automation Consultant ,Flipkart,Bangalore Karnataka,Not Disclosed,NA,https://www.flipkartcareers.com/#!/joblist
